False_Positive_Rate,True_Positive_Rate,Threshold
0.028985507246376812,0.22192513368983957,0.6871386401902957
0.02995169082125604,0.22192513368983957,0.6844925788025656
0.02995169082125604,0.22727272727272727,0.68296628483955
0.030917874396135265,0.22727272727272727,0.6822806107746928
0.030917874396135265,0.24064171122994651,0.6798933494754569
0.03188405797101449,0.24064171122994651,0.6785741418702811
0.03188405797101449,0.24598930481283424,0.6765693504754425
0.033816425120772944,0.24598930481283424,0.6754268621367515
0.033816425120772944,0.24866310160427807,0.6746761544391022
0.034782608695652174,0.24866310160427807,0.6740346535395995
0.034782608695652174,0.25133689839572193,0.6709000634074198
0.035748792270531404,0.25133689839572193,0.6696973409939554
0.035748792270531404,0.28609625668449196,0.6579432657985869
0.03671497584541063,0.28609625668449196,0.6572652378782969
0.03671497584541063,0.29411764705882354,0.6560172384209676
0.03768115942028986,0.29411764705882354,0.6528830083407694
0.03768115942028986,0.3048128342245989,0.6480650194842491
0.03864734299516908,0.3048128342245989,0.6472666085100014
0.03864734299516908,0.32887700534759357,0.637576155031822
0.04057971014492753,0.32887700534759357,0.637015618616562
0.04057971014492753,0.3342245989304813,0.6354802837973035
0.04154589371980676,0.3342245989304813,0.6350612648058905
0.04154589371980676,0.34759358288770054,0.6289211488582178
0.04251207729468599,0.34759358288770054,0.6286928363808666
0.04251207729468599,0.3502673796791444,0.6283747781854027
0.04541062801932367,0.3502673796791444,0.6279751618824873
0.04541062801932367,0.35294117647058826,0.6267168665538578
0.0463768115942029,0.35294117647058826,0.6250180937147882
0.0463768115942029,0.35561497326203206,0.6239229993404378
0.04734299516908213,0.35561497326203206,0.6234448716791051
0.04734299516908213,0.3582887700534759,0.6225736781994453
0.04830917874396135,0.3582887700534759,0.6223464889941455
0.04830917874396135,0.36363636363636365,0.6210849433028481
0.04927536231884058,0.36363636363636365,0.6199379240004642
0.04927536231884058,0.3663101604278075,0.619781395377761
0.05314009661835749,0.3663101604278075,0.6119681085077181
0.05314009661835749,0.38235294117647056,0.6074173323477718
0.05410628019323672,0.38235294117647056,0.60586359611482
0.05410628019323672,0.39037433155080214,0.6037513056932597
0.05507246376811594,0.39037433155080214,0.6035103112015178
0.05507246376811594,0.393048128342246,0.603195901734585
0.05603864734299517,0.393048128342246,0.6031264627864515
0.05603864734299517,0.3983957219251337,0.602013580051812
0.057004830917874394,0.3983957219251337,0.6018138108751987
0.057004830917874394,0.4037433155080214,0.5983788156450294
0.05893719806763285,0.4037433155080214,0.5963639646567028
0.05893719806763285,0.40641711229946526,0.5954824071227784
0.06086956521739131,0.40641711229946526,0.5938068415665327
0.06086956521739131,0.4117647058823529,0.5908710729163942
0.06183574879227053,0.4117647058823529,0.5908548257549856
0.06183574879227053,0.4144385026737968,0.59059373555167
0.06376811594202898,0.4144385026737968,0.589533057132392
0.06376811594202898,0.42513368983957217,0.5868174645987201
0.06763285024154589,0.42513368983957217,0.583791941147743
0.06763285024154589,0.4304812834224599,0.5808358413590349
0.06956521739130435,0.4304812834224599,0.5787366546092886
